username,tweetcreatedts,text
AdanJik,2022-07-30 23:59:59,"RT @madisnur: Mungkin kita masih inget kelakuan @kemkominfo pada 2019, dia asal aja blokir2 Internet di Papua. Bener2 merugikan Rakyat dan…"
vanilla_lava,2022-07-30 23:59:59,"RT @alter_ozone: Diam bengong, sekali gerak bikin rusuh. #BlokirKominfo https://t.co/DqUIvdFs7u"
ByunnBaekhyun23,2022-07-30 23:59:54,"RT @MstrYoda: Kpd yg tidak terhormat @kemkominfo ,
Mengapa kalian begitu tidak bijak dalam melakukan sesuatu? Kalian sangat merugikan masya…"
MisteriaTMR,2022-07-30 23:59:48,"RT @Avendi_Prasetyo: Steam, PayPal, Battlenet, Epic Games dan lainya diblokir di Indonesia 
Johnny G. Plate harus mundur

#BlokirKominfo /…"
aisyaa_nf,2022-07-30 23:59:47,"RT @MstrYoda: Kpd yg tidak terhormat @kemkominfo ,
Mengapa kalian begitu tidak bijak dalam melakukan sesuatu? Kalian sangat merugikan masya…"
IstiAsti,2022-07-30 23:59:47,"RT @Avendi_Prasetyo: Steam, PayPal, Battlenet, Epic Games dan lainya diblokir di Indonesia 
Johnny G. Plate harus mundur

#BlokirKominfo /…"
badsweetiess,2022-07-30 23:59:43,"RT @SportsTime_id: Semoga Kominfo Mendengar ini ya😏

#BlokirKominfo GitHub Paytren Pake VPN Paypal Ardhito Johnny G. Plate Gmail Google Dri…"
ramadianr_,2022-07-30 23:59:42,"RT @MstrYoda: Kpd yg tidak terhormat @kemkominfo ,
Mengapa kalian begitu tidak bijak dalam melakukan sesuatu? Kalian sangat merugikan masya…"
lapaknyaiza,2022-07-30 23:59:39,"RT @cesntella: Rekomendasi celana panjang buat kuliah,kerja atau hangout✨
Pic 1 :https://t.co/4QupKXSYTW
Pic 2 :https://t.co/XIyn8IqaKc
Pic…"
PitikSelokan,2022-07-30 23:59:35,"RT @DavidBenno: ""Diblokir Kominfo""
#BlokirKominfo #PayPal #STREAM #epicgames #music #musik #poetry #poem #puisi #pantun https://t.co/tMrwvR…"
RaraGantariN,2022-07-30 23:59:34,"RT @ekowboy2: Ini akibat kardus digembok..

Akhirnya Jokowi diserang pendukungnya sendiri dari buzzer receh sampe Influencer papan atas, ki…"
nakamarising,2022-07-30 23:59:33,"@ecommurz Protes! Semua bisa kena!
Boomer orba sialan emang
#BlokirKominfo"
m_hilyati,2022-07-30 23:59:32,"RT @ekowboy2: Ini akibat kardus digembok..

Akhirnya Jokowi diserang pendukungnya sendiri dari buzzer receh sampe Influencer papan atas, ki…"
Izz_zzu,2022-07-30 23:59:31,RT @secgron: Beli game di Steam udah dipajakin sama negara ini sejak 2 tahun lalu. Sekarang mau mainin game yang udah dibeli dan dipajakin…
MisteriaTMR,2022-07-30 23:59:25,"RT @Vikkristian12: Selamat pagi dan selamat berakhir pekan, steam udah diblokir tapi slot belum di blokir padahal beli game di steam udah b…"
msrluv_,2022-07-30 23:59:22,"RT @MstrYoda: Kpd yg tidak terhormat @kemkominfo ,
Mengapa kalian begitu tidak bijak dalam melakukan sesuatu? Kalian sangat merugikan masya…"
id_beritaupdate,2022-07-30 23:59:22,"Sabaaaar brouw,ada ""pesan dari Orang Pinter, katanya Jangan #BlokirKominfo #SaveDigitalFreedom #Digitaland2022 #Bebaskan5WargaDIY #ReneOut #BelaDIY #saldokaget #JustiveForGaram #BabyDoge Jilbab Haaland Uncle Rogers Tidur LPDP Malming Situs PayPal Dota LILIFILM THEMOVIE 100M Judi https://t.co/lEyikAwLWJ"
just_waiters,2022-07-30 23:59:19,"RT @ostenrainala: Teruntuk jajaran Kemkominfo,
Patut di pertanyakan kinerja kalian 🥺 ga main block sembarangan gini man #BlokirKominfo http…"
RaraGantariN,2022-07-30 23:59:15,"RT @jiternos: #BlokirKominfo 
POV: Kominfo https://t.co/aLbGM9o23i"
bung_dehan,2022-07-30 23:59:12,"Kalau Ada lembaga tapi tidak berpihak kepada kepentingan rakyat, enaknya di apain ini lembaga??🤣🤣 ,  #BlokirKominfo"
herukurnia,2022-07-30 23:59:12,RT @Fiar098: Layanan internet harusnya gaboleh dipegang sama kominfo lagi selama yang masih duduk disana para boomer tolol asal blok gajela…
RivalRiann,2022-07-30 23:59:10,RT @rspencerbastian: Bukan hanya Kominfo yang ga ada guna. Semoga kita semua akan selalu sadar kalau kebebasan kita secara perlahan dirampa…
Juna_arifinn,2022-07-30 23:59:08,RT @kfreiii: @kemkominfo Kata temen syaa yang pernah magang di situ aja gitu ngomongnya. Gimana mau memajukan teknologi Indonesia kalo isin…
Itz_AveryPlayz,2022-07-30 23:59:08,"RT @Apin180: ngeblokir egs, steam, paypal
tapi katanya mendukung karya anak bangsa
tapi karya anak bangsa yg dibayar via paypal jadinya dit…"
unniepro,2022-07-30 23:59:08,RT @icanmori: Kominfo buat peraturan bahwa setiap peserta harus menempatkan data mereka di Indonesia artinya harus pakai data center di Ind…
arief_us,2022-07-30 23:59:01,"RT @SportsTime_id: Semoga Kominfo Mendengar ini ya😏

#BlokirKominfo GitHub Paytren Pake VPN Paypal Ardhito Johnny G. Plate Gmail Google Dri…"
budhi_9259,2022-07-30 23:58:59,"RT @Robert_Piliang: Nah kan!!
#BlokirKominfo https://t.co/7CY452lOsC"
danskiwong,2022-07-30 23:58:56,"RT @LBH_Jakarta: LBH Jakarta mengajak kepada seluruh konten kreator, digital developer dan berbagai pihak yang dirugikan akibat Permenkomin…"
iamrichgirlxx,2022-07-30 23:58:53,"RT @MstrYoda: Kpd yg tidak terhormat @kemkominfo ,
Mengapa kalian begitu tidak bijak dalam melakukan sesuatu? Kalian sangat merugikan masya…"
ariesthetic,2022-07-30 23:58:48,"RT @LBH_Jakarta: LBH Jakarta mengajak kepada seluruh konten kreator, digital developer dan berbagai pihak yang dirugikan akibat Permenkomin…"
2Metan,2022-07-30 23:58:48,"RT @LBH_Jakarta: LBH Jakarta mengajak kepada seluruh konten kreator, digital developer dan berbagai pihak yang dirugikan akibat Permenkomin…"
dennyranch_art,2022-07-30 23:58:47,"Gini nih klo boomer disuruh megang kerjaan yg haruse dipegang para milenial.. endinge bikin kebijakane ga nyambung, bikin susah aja... #BlokirKominfo"
ridhorahadi,2022-07-30 23:58:41,"RT @madisnur: Mungkin kita masih inget kelakuan @kemkominfo pada 2019, dia asal aja blokir2 Internet di Papua. Bener2 merugikan Rakyat dan…"
huuuuumanOid,2022-07-30 23:58:40,RT @secgron: Hari ini dampak dari pemblokiran sewenang-wenang oleh @kemkominfo  udah bisa kita rasakan dan kini saatnya untuk mengambil lan…
DjatiHendra,2022-07-30 23:58:38,"RT @historia_id: Kini, Kominfo, PSE, website diblokir. Dulu, Kemenpen, SIUPP, media massa dibredel. Harmoko jalan terus. Harmoko yang menja…"
hybeeland,2022-07-30 23:58:37,"RT @LBH_Jakarta: LBH Jakarta mengajak kepada seluruh konten kreator, digital developer dan berbagai pihak yang dirugikan akibat Permenkomin…"
zha_benk2,2022-07-30 23:58:36,"2 kekasih Allah bertemu..
#BlokirKominfo https://t.co/fue6axxHv2"
MisteriaTMR,2022-07-30 23:58:34,"RT @ratcebong: Bukannya ngusik lapak judi slot, malah ngurusin hal-hal yang ga seharusnya di usik. Lembaga tolol. 
#BlokirKominfo https://t…"
ajiewonder,2022-07-30 23:58:31,"RT @LBH_Jakarta: LBH Jakarta mengajak kepada seluruh konten kreator, digital developer dan berbagai pihak yang dirugikan akibat Permenkomin…"
aldiots,2022-07-30 23:58:30,"RT @LBH_Jakarta: LBH Jakarta mengajak kepada seluruh konten kreator, digital developer dan berbagai pihak yang dirugikan akibat Permenkomin…"
rivalism33,2022-07-30 23:58:30,RT @Fiar098: Layanan internet harusnya gaboleh dipegang sama kominfo lagi selama yang masih duduk disana para boomer tolol asal blok gajela…
MisteriaTMR,2022-07-30 23:58:28,"RT @yamahaYuuki: hah, yuuki bisa buka steam sama twitch? kok bisa?
bisa dong. soalnya aku udah gak percaya sama kominfo dari dahulu kala.
r…"
priyaanantama,2022-07-30 23:58:21,"RT @NdrewsTjan: Masalah Steam dan @kemkominfo ini itu sengaja dibuat rame krna masalah ini kali ya. 

Mau menutupi Hasil Autopsi Brigadir J…"
apreiskagilang,2022-07-30 23:58:21,"RT @Vikkristian12: Selamat pagi dan selamat berakhir pekan, steam udah diblokir tapi slot belum di blokir padahal beli game di steam udah b…"
jurusaffiliasi,2022-07-30 23:58:19,"MINISO Laci Penyimpanan 2 Lapis Multifungsi

link: https://t.co/PH0pcvXxD5

PayPal Jilbab Uncle Roger #BlokirKominfo Indonesian LPDP Irene #TodaysWebtoonEp2 #BigMouthEp2 Dota Chizu Malmingan Tidur https://t.co/xDepSL2K3V"
tolo_adi,2022-07-30 23:58:18,Selamat minggu pagi semua kecuali  @kemkominfo #BlokirKominfo
dkimbabb,2022-07-30 23:58:17,"RT @LBH_Jakarta: LBH Jakarta mengajak kepada seluruh konten kreator, digital developer dan berbagai pihak yang dirugikan akibat Permenkomin…"
munafuck20,2022-07-30 23:58:15,"RT @MstrYoda: Kpd yg tidak terhormat @kemkominfo ,
Mengapa kalian begitu tidak bijak dalam melakukan sesuatu? Kalian sangat merugikan masya…"
RicoUmara,2022-07-30 23:58:12,"RT @LBH_Jakarta: LBH Jakarta mengajak kepada seluruh konten kreator, digital developer dan berbagai pihak yang dirugikan akibat Permenkomin…"
mnrlanw,2022-07-30 23:58:11,"RT @Mfzxy1: Dear Kominfo,Lu Enak Banget Ya Blokir Steam,Epic games,PayPal,Asal Lu Tau Ajg Banyak gamer Di Seluruh Indonesia Udah Beli Game…"
ramunxxx,2022-07-30 23:58:07,"RT @Azirah172: #BlokirKominfo
#kominfo
#KominfoKontol
Update terbaru https://t.co/72wjpxPfW2"
genasalkhwr,2022-07-30 23:57:59,"kebijakan lawak, biar apa kyk gini ?, biar diliat kalo “kerja”. berharap anak bangsa bisa membuat dan mengembangkan aplikasi sendiri. banyak pihak yg dirugikan demi “keamanan pribadi”, suka bikin kebijakan tanpa sosialisasi yg merata, serta 
implementasi yg salah.
#BlokirKominfo"
xolovephine,2022-07-30 23:57:58,"RT @MstrYoda: Kpd yg tidak terhormat @kemkominfo ,
Mengapa kalian begitu tidak bijak dalam melakukan sesuatu? Kalian sangat merugikan masya…"
pepo_infp,2022-07-30 23:57:57,"@tilehopper Kalau sistem registrasi PSE tdk dihentikan, dan lebih banyak web dan layanan yg diblokir, saya terpaksa harus PHK karena tdk bs bekerja lagi dgn internet Indonesia. Kalau dilanjutkan, saya yakin tdk cm saya, tp Kominfo akan membunuh banyak orang lain. #BlokirKominfo"
dabenone2,2022-07-30 23:57:57,RT @Fiar098: Layanan internet harusnya gaboleh dipegang sama kominfo lagi selama yang masih duduk disana para boomer tolol asal blok gajela…
kookie_mybae,2022-07-30 23:57:57,"RT @MstrYoda: Kpd yg tidak terhormat @kemkominfo ,
Mengapa kalian begitu tidak bijak dalam melakukan sesuatu? Kalian sangat merugikan masya…"
PitikSelokan,2022-07-30 23:57:51,"RT @Mfzxy1: Dear Kominfo,Lu Enak Banget Ya Blokir Steam,Epic games,PayPal,Asal Lu Tau Ajg Banyak gamer Di Seluruh Indonesia Udah Beli Game…"
wibawant0ny,2022-07-30 23:57:48,RT @secgron: Beli game di Steam udah dipajakin sama negara ini sejak 2 tahun lalu. Sekarang mau mainin game yang udah dibeli dan dipajakin…
spammiezz,2022-07-30 23:57:45,RT @Fiar098: Layanan internet harusnya gaboleh dipegang sama kominfo lagi selama yang masih duduk disana para boomer tolol asal blok gajela…
itsrijak,2022-07-30 23:57:43,"RT @ndagels: Steam, epic games, battlenet diblokir tapi kok ini game yg nuansa judinya kuat malah di kasih ijin kominfo, lawak bener #Bloki…"
indiwhore,2022-07-30 23:57:38,baru sadar muka jonny plate kaya biji kontol #BlokirKominfo
CMLR_12,2022-07-30 23:57:29,"RT @LBH_Jakarta: LBH Jakarta mengajak kepada seluruh konten kreator, digital developer dan berbagai pihak yang dirugikan akibat Permenkomin…"
valenjenies,2022-07-30 23:57:28,"RT @MstrYoda: Kpd yg tidak terhormat @kemkominfo ,
Mengapa kalian begitu tidak bijak dalam melakukan sesuatu? Kalian sangat merugikan masya…"
WawanAja2020,2022-07-30 23:57:22,"RT @LBH_Jakarta: LBH Jakarta mengajak kepada seluruh konten kreator, digital developer dan berbagai pihak yang dirugikan akibat Permenkomin…"
